n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_two_sided,coverage_one_sided,mean_width_two_sided,std_width_two_sided,q_value,num_two_sided,num_one_sided
500,1,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,0.9693877551020408,-1.009569032698169,0.2536205887060756,3.0587040591873667,2,98
500,1,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.94,0.0,0.9591836734693877,-1.0351319436562934,0.06259069772450099,3.03441580870817,2,98
500,1,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,8.2238433723886,0,100
500,1,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,,0.93,,,2.9313278967997505,0,100
500,1,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.88,0.0,0.9263157894736842,-0.3879232718490669,0.0,2.9313278967997505,5,95
500,1,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.87,0.0,0.9157894736842105,-0.387161099075814,0.0011284548711749812,2.8424164851993154,5,95
500,1,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.94,,0.94,,,9.443253380966418,0,100
500,50,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.96,,0.96,,,3.172589019079679,0,100
500,50,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.59,0.0,0.6145833333333334,,,inf,4,96
500,50,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,0.9895833333333334,-3.343232612627842,5.79064876391317,19.6550751152836,4,96
500,50,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.98,,0.98,,,5.477239978845543,0,100
500,50,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.0,,0.0,,,inf,0,100
500,50,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.5,0.0,0.5263157894736842,,,inf,5,95
500,50,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,0.9789473684210527,-1.3616817229576164,2.723363466586427,12.562404329264936,5,95
500,50,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.94,,0.94,,,21.706678319510125,0,100
2000,1,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.473303993162559,0,400
2000,1,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.945,0.0,1.0,0.017735425512348503,0.07503269681366029,2.493008377887724,22,378
2000,1,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.945,0.0,1.0,0.0552451325429872,0.02140085943824076,2.5660798492662384,22,378
2000,1,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.975,,0.975,,,3.162710945311742,0,400
2000,1,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.3826953756717084,0,400
2000,1,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9325,0.0,0.9946666666666667,-0.10235923099280803,0.12726321819144937,2.351681780940819,25,375
2000,1,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.935,0.0,0.9973333333333333,-0.04809241538604511,0.12627778672228185,2.400369959123747,25,375
2000,1,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9725,,0.9725,,,2.941576439132356,0,400
2000,50,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.959107843032485,0,400
2000,50,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9475,0.0,0.9921465968586387,-0.929375985580313,0.7938640013635191,2.145132292970269,18,382
2000,50,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.955,0.0,1.0,-0.14569248453645936,0.4580713902465021,2.988738190574499,18,382
2000,50,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9925,,0.9925,,,1.9062222032000204,0,400
2000,50,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,4.208510257572379,0,400
2000,50,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.955,0.0,0.9820051413881749,-0.82511363272699,0.610431513342038,2.624636607707994,11,389
2000,50,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9725,0.0,1.0,9.999999999999999e-09,1.6543612251060553e-24,3.652133857620856,11,389
2000,50,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9875,,0.9875,,,2.474746263297931,0,400
2000,1,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.98,,0.98,,,2.5020073280331228,0,400
2000,1,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9425,0.0,0.9766839378238342,-0.46366171928358396,0.12033610965862991,2.36893903449346,14,386
2000,1,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9325,0.0,0.966321243523316,-0.5327871659596335,0.14549312297756212,2.3579676935141736,14,386
2000,1,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,6.194778481564013,0,400
2000,1,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.955,,0.955,,,2.097803639258819,0,400
2000,1,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.89,0.0,0.9393139841688655,-0.47800010932028425,0.23953689414458973,2.094973283795847,21,379
2000,1,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.8875,0.0,0.9366754617414248,-0.4606705003450135,0.30200967976626886,2.1316188559017233,21,379
2000,1,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,,0.93,,,4.1269733232017,0,400
2000,50,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.960964024148147,0,400
2000,50,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.935,0.0,0.961439588688946,-2.266649560597861,0.8697390255957648,2.4259628898208394,11,389
2000,50,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9475,0.0,0.974293059125964,-1.4677790525093277,1.3232806731335733,2.491841138451256,11,389
2000,50,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.985,,0.985,,,1.9240541496732413,0,400
2000,50,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.725640056307272,0,400
2000,50,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.92,0.0,0.9658792650918635,-inf,,4.156648756095986,19,381
2000,50,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.935,0.0,0.9816272965879265,-1.4529585036697068,0.9873778943855749,2.097201087295055,19,381
2000,50,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.96,,0.96,,,2.9733277173226136,0,400
2000,1,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.92,,0.92,,,2.5696082778985345,0,400
2000,1,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9125,0.0,0.9287531806615776,-1.0532827632589676,0.003145233346785782,2.6330332148041213,7,393
2000,1,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.91,0.0,0.926208651399491,-1.0420948002843577,0.01118500846317039,2.84361725008372,7,393
2000,1,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.92,,0.92,,,8.20305552162512,0,400
2000,1,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9475,,0.9475,,,2.554758047848979,0,400
2000,1,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9025,0.0,0.9575596816976127,-0.6341683771300872,0.2944747431577047,2.6443278501283305,23,377
2000,1,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9025,0.0,0.9575596816976127,-0.567719402172605,0.34902757135646617,2.902632958256174,23,377
2000,1,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9575,,0.9575,,,7.5418255244417445,0,400
2000,50,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,3.0772474695827285,0,400
2000,50,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.5075,0.0,0.5456989247311828,,,inf,28,372
2000,50,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.8925,0.0,0.9596774193548387,-1.9823344435404722,1.504215286220283,7.597632732186023,28,372
2000,50,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.945,,0.945,,,12.5039935932072,0,400
2000,50,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9575,,0.9575,,,1.8979558511914278,0,400
2000,50,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.475,0.0,0.5026455026455027,,,inf,22,378
2000,50,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9125,0.0,0.9656084656084656,-1.0700917323744634,1.1746849857252109,6.022260317367241,22,378
2000,50,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9625,,0.9625,,,29.94934260914809,0,400
