n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,num_uncensored,num_censored
500,50,0.5,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.61,0.9387755102040817,0.29411764705882354,1.665763095842498,49,51
500,50,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,0.0,0.0,0.0,inf,48,52
500,50,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.5,0.8958333333333334,0.1346153846153846,inf,48,52
500,50,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.72,0.9583333333333334,0.5,2.4272907244155086,48,52
500,50,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.5,0.8958333333333334,0.1346153846153846,10.996366465482403,48,52
2000,1,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.985296881008985,362,38
2000,1,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.813203359478048,362,38
2000,1,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.8024511381818282,362,38
2000,1,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.99,0.988950276243094,1.0,3.4922537594988046,362,38
2000,1,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.986486414874282,359,41
2000,1,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.132383215675172,359,41
2000,1,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.0367563405073885,359,41
2000,1,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.9925,0.9916434540389972,1.0,3.5112596401891185,359,41
2000,50,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.2362639899309484,360,40
2000,50,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.93,0.9277777777777778,0.95,1.2578289408341659,360,40
2000,50,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.995,0.9944444444444445,1.0,1.395196101231939,360,40
