n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,c0_chosen,p_c0_marginal,num_uncensored,num_censored
500,1,0.5,True,cox,Traditional CSA,0.1,0.99,0.9782608695652174,1.0,2.9412604726143403,14.105249060206015,0.30666666666666664,46,54
500,1,0.5,True,weibull,Traditional CSA,0.1,0.99,0.9782608695652174,1.0,2.605539297328995,14.105249060206015,0.30666666666666664,46,54
500,1,0.5,True,rsf,Traditional CSA,0.1,1.0,1.0,1.0,3.7573740642793454,14.105249060206015,0.30666666666666664,46,54
500,50,0.5,False,km,Traditional CSA,0.1,0.96,0.92,1.0,2.546208889590075,4.595929276492152,0.6533333333333333,50,50
500,50,0.5,False,cox,Traditional CSA,0.1,0.81,0.66,0.96,1.156134091505229,13.413319678021075,0.3,50,50
500,50,0.5,False,weibull,Traditional CSA,0.1,0.81,0.72,0.9,1.1179798273864985,13.413319678021075,0.3,50,50
500,50,0.5,False,rsf,Traditional CSA,0.1,0.89,0.78,1.0,3.1746930972109144,13.413319678021075,0.3,50,50
500,50,0.5,True,km,Traditional CSA,0.1,0.85,0.7777777777777778,0.9347826086956522,3.851384294810066,8.746697921557725,0.5,54,46
500,50,0.5,True,cox,Traditional CSA,0.1,0.96,0.9444444444444444,0.9782608695652174,2.390180353145943,13.332101562659002,0.3566666666666667,54,46
500,50,0.5,True,weibull,Traditional CSA,0.1,0.94,0.9074074074074074,0.9782608695652174,1.7283305347959197,13.332101562659002,0.3566666666666667,54,46
500,50,0.5,True,rsf,Traditional CSA,0.1,0.87,0.8148148148148148,0.9347826086956522,3.393602868331222,13.332101562659002,0.3566666666666667,54,46
2000,1,0.1,False,km,Traditional CSA,0.1,0.9225,0.9164345403899722,0.975609756097561,7.93937970175752,99.53216716572778,0.35333333333333333,359,41
2000,1,0.1,False,cox,Traditional CSA,0.1,0.9125,0.9025069637883009,1.0,1.7738133184188274,26.625262143862262,0.7508333333333334,359,41
2000,1,0.1,False,weibull,Traditional CSA,0.1,0.9125,0.9052924791086351,0.975609756097561,1.9579873264126713,74.73864687369537,0.4525,359,41
2000,1,0.1,False,rsf,Traditional CSA,0.1,0.885,0.8857938718662952,0.8780487804878049,2.316852053995543,99.53216716572778,0.35333333333333333,359,41
2000,1,0.1,True,km,Traditional CSA,0.1,0.8675,0.8547486033519553,0.9761904761904762,7.418194037736198,36.03916252748682,0.65,358,42
2000,1,0.1,True,cox,Traditional CSA,0.1,0.885,0.8770949720670391,0.9523809523809523,1.5717760010068034,30.543609826174382,0.7008333333333333,358,42
2000,1,0.1,True,weibull,Traditional CSA,0.1,0.885,0.8798882681564246,0.9285714285714286,1.6720444115626787,56.44407875458752,0.5016666666666667,358,42
2000,1,0.1,True,rsf,Traditional CSA,0.1,0.8575,0.8547486033519553,0.8809523809523809,1.8928733574461845,30.543609826174382,0.7008333333333333,358,42
2000,50,0.1,False,km,Traditional CSA,0.1,0.9125,0.9054054054054054,1.0,7.499820824788746,62.06797969093562,0.5583333333333333,370,30
2000,50,0.1,False,cox,Traditional CSA,0.1,0.93,0.927027027027027,0.9666666666666667,1.742679515991515,54.62681578322363,0.6,370,30
2000,50,0.1,False,weibull,Traditional CSA,0.1,0.9175,0.9297297297297298,0.7666666666666667,2.666648217103732,128.19073519111566,0.30666666666666664,370,30
2000,50,0.1,False,rsf,Traditional CSA,0.1,0.9275,0.9216216216216216,1.0,3.317282014248583,114.12027232868301,0.3475,370,30
2000,50,0.1,True,km,Traditional CSA,0.1,0.9025,0.8935574229691877,0.9767441860465116,7.580074066025602,43.59363677234893,0.5983333333333334,357,43
2000,50,0.1,True,cox,Traditional CSA,0.1,0.915,0.907563025210084,0.9767441860465116,1.8971782010467029,31.937715468917578,0.6975,357,43
2000,50,0.1,True,weibull,Traditional CSA,0.1,0.9125,0.9103641456582633,0.9302325581395349,2.126239481493711,69.0648472748165,0.45666666666666667,357,43
2000,50,0.1,True,rsf,Traditional CSA,0.1,0.875,0.8627450980392157,0.9767441860465116,2.8885291050663318,69.0648472748165,0.45666666666666667,357,43
2000,1,0.3,False,km,Traditional CSA,0.1,0.9275,0.8971631205673759,1.0,5.024217131512081,8.89017329186163,0.7016666666666667,282,118
2000,1,0.3,False,cox,Traditional CSA,0.1,0.92,0.8865248226950354,1.0,2.054225308047992,28.410791372070193,0.3466666666666667,282,118
2000,1,0.3,False,weibull,Traditional CSA,0.1,0.92,0.8900709219858156,0.9915254237288136,2.00214376449329,28.410791372070193,0.3466666666666667,282,118
