n,p,cens_rate,hetero,model_type,c0_threshold,mean_weight,std_weight,min_weight,max_weight,mean_censor_prob,std_censor_prob
100,1,0.3,False,weibull,2.195634362076083,2.202185786443132,1.939375466442601,0.5163511187607573,5.0,0.5060738095238096,0.382914517578152
100,1,0.3,False,rsf,2.195634362076083,2.202185786443132,1.939375466442601,0.5163511187607573,5.0,0.5060738095238096,0.382914517578152
100,1,0.3,True,km,2.7991506193894544,1.8398047177474932,1.3209476011722776,0.5597014925373135,5.0,0.44219999999999987,0.2754829375639966
100,1,0.3,True,cox,2.7991506193894544,1.8398047177474932,1.3209476011722776,0.5597014925373135,5.0,0.44219999999999987,0.2754829375639966
100,1,0.3,True,weibull,2.7991506193894544,1.8398047177474932,1.3209476011722776,0.5597014925373135,5.0,0.44219999999999987,0.2754829375639966
100,1,0.3,True,rsf,2.7991506193894544,1.8398047177474932,1.3209476011722776,0.5597014925373135,5.0,0.44219999999999987,0.2754829375639966
100,50,0.3,False,km,1.58478765557338,1.986161005783099,1.5084289238682584,0.5681818181818182,5.0,0.48600000000000004,0.329004559238926
100,50,0.3,False,cox,1.58478765557338,1.986161005783099,1.5084289238682584,0.5681818181818182,5.0,0.48600000000000004,0.329004559238926
100,50,0.3,False,weibull,1.58478765557338,1.986161005783099,1.5084289238682584,0.5681818181818182,5.0,0.48600000000000004,0.329004559238926
100,50,0.3,False,rsf,1.58478765557338,1.986161005783099,1.5084289238682584,0.5681818181818182,5.0,0.48600000000000004,0.329004559238926
100,50,0.3,True,km,0.4211427752196912,2.066819553151352,1.6542559319703467,0.5681818181818182,5.0,0.47800000000000004,0.3288099755177753
100,50,0.3,True,cox,0.4211427752196912,2.066819553151352,1.6542559319703467,0.5681818181818182,5.0,0.47800000000000004,0.3288099755177753
100,50,0.3,True,weibull,0.4211427752196912,2.066819553151352,1.6542559319703467,0.5681818181818182,5.0,0.47800000000000004,0.3288099755177753
100,50,0.3,True,rsf,0.4211427752196912,2.066819553151352,1.6542559319703467,0.5681818181818182,5.0,0.47800000000000004,0.3288099755177753
100,1,0.5,False,km,2.370662390419515,2.0473869227442165,1.8194615947251624,0.5263157894736842,5.0,0.4873833333333333,0.3735579276066535
100,1,0.5,False,cox,2.370662390419515,2.0473869227442165,1.8194615947251624,0.5263157894736842,5.0,0.4873833333333333,0.3735579276066535
100,1,0.5,False,weibull,2.370662390419515,2.0473869227442165,1.8194615947251624,0.5263157894736842,5.0,0.4873833333333333,0.3735579276066535
100,1,0.5,False,rsf,2.370662390419515,2.0473869227442165,1.8194615947251624,0.5263157894736842,5.0,0.4873833333333333,0.3735579276066535
100,1,0.5,True,km,2.4084849877090866,2.049588731515777,1.6677431758612635,0.5272407732864676,5.0,0.4527333333333333,0.33301944554501783
100,1,0.5,True,cox,2.4084849877090866,2.049588731515777,1.6677431758612635,0.5272407732864676,5.0,0.4527333333333333,0.33301944554501783
100,1,0.5,True,weibull,2.4084849877090866,2.049588731515777,1.6677431758612635,0.5272407732864676,5.0,0.4527333333333333,0.33301944554501783
100,1,0.5,True,rsf,2.4084849877090866,2.049588731515777,1.6677431758612635,0.5272407732864676,5.0,0.4527333333333333,0.33301944554501783
100,50,0.5,False,km,1.0136788201714342,2.3030616071851675,1.9308192705449312,0.5434782608695652,5.0,0.48600000000000004,0.3599499965272955
100,50,0.5,False,cox,1.0136788201714342,2.3030616071851675,1.9308192705449312,0.5434782608695652,5.0,0.48600000000000004,0.3599499965272955
