n,p,cens_rate,hetero,model_type,alpha,coverage,coverage_uncensored,coverage_censored,mean_width,width_cv,q_value
500,1,0.5,True,km,0.1,0.82,0.9130434782608695,0.7407407407407407,4.103509437434525,0.0,2.0517547187172624
500,1,0.5,True,cox,0.1,0.76,0.8478260869565217,0.6851851851851852,4.030134639871866,0.0,2.015067319935933
500,1,0.5,True,weibull,0.1,0.81,0.8913043478260869,0.7407407407407407,4.0344092637263955,4.4030159641253467e-16,2.0172046318631986
500,1,0.5,True,rsf,0.1,0.83,0.8043478260869565,0.8518518518518519,6.106662976471683,0.12530167239608161,3.532744916366708
500,50,0.5,False,km,0.1,0.91,0.8163265306122449,1.0,2.19875067306308,2.019734275880411e-16,1.0993753365315397
500,50,0.5,False,cox,0.1,0.84,1.0,0.6862745098039216,inf,,inf
500,50,0.5,False,weibull,0.1,0.95,1.0,0.9019607843137255,5.918298282720952,0.26812066668021445,4.575059281053128
500,50,0.5,False,rsf,0.1,0.91,1.0,0.8235294117647058,4.025102511358076,0.3075733754558026,2.889932246608708
500,50,0.5,True,km,0.1,0.84,0.6666666666666666,1.0,1.987231511837556,2.234713002509816e-16,0.9936157559187778
500,50,0.5,True,cox,0.1,0.94,1.0,0.8846153846153846,4.137740061690874,0.29515908970008525,2.851211736952153
500,50,0.5,True,weibull,0.1,0.95,1.0,0.9038461538461539,4.230090594162876,0.25111938123832883,3.212451745733213
500,50,0.5,True,rsf,0.1,0.92,0.9375,0.9038461538461539,3.650178154175194,0.30528226144387827,2.467778382927481
2000,1,0.1,False,km,0.1,0.92,0.9171270718232044,0.9473684210526315,4.516372333417237,0.0,2.2581861667086183
2000,1,0.1,False,cox,0.1,0.9225,0.9226519337016574,0.9210526315789473,4.415257980160611,0.01028917759217236,2.2218869387259614
2000,1,0.1,False,weibull,0.1,0.9225,0.919889502762431,0.9473684210526315,4.470896958638824,0.015383112183116426,2.262590637894489
2000,1,0.1,False,rsf,0.1,0.88,0.8756906077348067,0.9210526315789473,4.811983909155232,0.12032453300068725,2.662489160005859
2000,1,0.1,True,km,0.1,0.89,0.8885793871866295,0.9024390243902439,4.249341405740373,2.0901554732700414e-16,2.124670702870186
2000,1,0.1,True,cox,0.1,0.8825,0.8857938718662952,0.8536585365853658,4.205950053666823,2.1117188943453937e-16,2.102975026833411
2000,1,0.1,True,weibull,0.1,0.8775,0.8802228412256268,0.8536585365853658,4.182154634718404,2.1237340492550408e-16,2.0910773173592023
2000,1,0.1,True,rsf,0.1,0.88,0.8802228412256268,0.8780487804878049,4.64388419641218,0.08860035969935684,2.4850686042134917
2000,50,0.1,False,km,0.1,0.905,0.8944444444444445,1.0,4.326073745401182,0.0,3.177092636706117
2000,50,0.1,False,cox,0.1,0.8925,0.9333333333333333,0.525,3.152603877663929,0.299221128887505,2.0509819753022405
2000,50,0.1,False,weibull,0.1,0.905,0.8944444444444445,1.0,3.54664189897774,0.24467963485905675,2.5428155206883574
2000,50,0.1,False,rsf,0.1,0.8825,0.925,0.5,2.7361060100098187,0.2995740450888457,1.7779155245121907
2000,50,0.1,True,km,0.1,0.91,0.898876404494382,1.0,4.447573060695929,1.9969956818677836e-16,3.389193621274641
2000,50,0.1,True,cox,0.1,0.8825,0.9073033707865169,0.6818181818181818,3.494882601732654,0.30413160338006484,2.3278560095421987
2000,50,0.1,True,weibull,0.1,0.8975,0.8848314606741573,1.0,3.656098233912756,0.2076572173419591,2.861413988429959
2000,50,0.1,True,rsf,0.1,0.8775,0.9157303370786517,0.5681818181818182,3.091762996656168,0.3130292248383706,2.0661350340672797
2000,1,0.3,False,km,0.1,0.8825,0.8936170212765957,0.8559322033898306,4.229433399688758,0.0,2.114716699844379
2000,1,0.3,False,cox,0.1,0.8725,0.8900709219858156,0.8305084745762712,4.047696523713754,2.194281153482384e-16,2.0238482618568776
2000,1,0.3,False,weibull,0.1,0.88,0.8829787234042553,0.8728813559322034,4.065306434142153,2.6217312788256136e-16,2.032653217071077
2000,1,0.3,False,rsf,0.1,0.895,0.8794326241134752,0.9322033898305084,5.112084192628519,0.11809860763507612,2.8590022292854975
2000,1,0.3,True,km,0.1,0.8825,0.9039145907473309,0.8319327731092437,4.00050727393355,0.0,2.000253636966775
2000,1,0.3,True,cox,0.1,0.8725,0.896797153024911,0.8151260504201681,4.059003687012702,2.188168546241938e-16,2.0295018435063508
2000,1,0.3,True,weibull,0.1,0.8725,0.896797153024911,0.8151260504201681,3.9521702323672785,1.4068194147373784e-16,1.976085116183639
2000,1,0.3,True,rsf,0.1,0.885,0.8932384341637011,0.865546218487395,4.6310718044612225,0.09320496325542817,2.496420489402029
2000,50,0.3,False,km,0.1,0.9125,0.875886524822695,1.0,3.7642326908473867,1.1797602494921515e-16,2.3197430345834302
2000,50,0.3,False,cox,0.1,0.9275,0.9716312056737588,0.8220338983050848,4.07040247580033,0.3003352651012887,2.6374222164491696
